"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"148","Juwann Winfree (GB)","1","4","12","12.0","12","0","0","0","0","0","0","3","2.2","0.7","0.0%"
"149","Trent Sherfield (SF)","1","3","12","12.0","12","0","0","0","0","0","0","3","2.2","0.7","0.1%"
"150","Marvin Hall (ATL)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"151","Dazz Newsome (CHI)","1","3","10","10.0","10","0","0","0","0","0","0","2","2.0","1.0","0.0%"
"152","Albert Wilson (MIA)","1","2","9","9.0","9","0","0","1","1","0","0","1","2.0","2.0","0.8%"
"153","Tommylee Lewis (MIA)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"154","Jakeem Grant Sr. (CHI)","0","0","0","0","0","0","0","2","17","0","0","2","1.7","0.9","1.2%"
"155","Julio Jones (TEN)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","61.1%"
"156","Penny Hart (SEA)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.1%"
"157","Cody Hollister (TEN)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"158","Josh Gordon (KC)","1","4","5","5.0","5","0","0","0","0","0","0","2","1.5","0.8","1.9%"
"159","Christian Blake (ATL)","1","3","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"160","Equanimeous St. Brown (GB)","1","2","14","14.0","14","0","0","1","-10","0","0","2","1.4","0.7","0.1%"
"161","Kenny Stills (NO)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.1%"
"162","Dede Westbrook (MIN)","1","1","4","4.0","4","0","0","0","0","0","0","2","1.4","0.7","0.1%"
"163","Maurice Ffrench (LAC)","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.0%"
"164","Kirk Merritt (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Trishton Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Isaiah Coulter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Malcolm Perry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Austin Mack (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Ja'Marcus Bradley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Aaron Parker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Chris Finke (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Lawrence Cager (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Tyron Johnson (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","John Ursua (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Preston Williams (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"178","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","KeeSean Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Manasseh Bailey (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Rysen John (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Tyler Simmons (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Anthony Ratliff-Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Derrick Dillon (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","John Hurst (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Josh Pearson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Bisi Johnson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Quinton Bell (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"190","Miles Boykin (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"191","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Jaylon Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","KJ Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"194","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Easop Winston Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"197","Tyler Vaughns (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Damion Willis (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
