"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"52","Austin Seibert (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"53","Cameron Nizialek (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.1%"
"55","Jake Verity (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","JJ Molson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Sam Sloman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Giorgio Tavecchio (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"72","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"74","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
