"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Jonnu Smith (NE)","2","4","23","11.5","20","0","0","2","7","0","0","3","5.0","1.7","22.6%"
"53","Daniel Brown (NYJ)","2","2","29","14.5","24","0","0","0","0","0","0","1","4.9","4.9","0.0%"
"54","Noah Gray (KC)","3","3","18","6.0","7","0","0","0","0","0","0","2","4.8","2.4","0.3%"
"55","Jordan Akins (HOU)","2","4","24","12.0","18","0","0","0","0","0","0","2","4.4","2.2","0.3%"
"56","Jeremy Sprinkle (DAL)","2","2","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.0%"
"57","Drew Sample (CIN)","3","3","11","3.7","5","0","0","0","0","0","0","3","4.1","1.4","0.1%"
"58","Jacob Hollister (JAC)","2","2","20","10.0","11","0","0","0","0","0","0","2","4.0","2.0","0.0%"
"59","Brock Wright (DET)","3","4","4","1.3","5","0","0","0","0","0","0","2","3.4","1.7","0.1%"
"60","Will Dissly (SEA)","2","2","11","5.5","8","0","0","0","0","0","0","2","3.1","1.6","0.2%"
"61","Trevon Wesco (NYJ)","1","1","19","19.0","19","0","0","0","0","0","0","2","2.9","1.5","0.0%"
"62","Ethan Wolf (NO)","2","2","8","4.0","4","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"63","Shane Zylstra (DET)","1","1","16","16.0","16","0","0","0","0","0","0","2","2.6","1.3","0.1%"
"64","Colby Parkinson (SEA)","1","2","12","12.0","12","0","0","0","0","0","0","3","2.2","0.7","0.0%"
"65","Chris Manhertz (JAC)","1","2","11","11.0","11","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"66","Kyle Rudolph (NYG)","1","3","9","9.0","9","0","0","0","0","0","0","3","1.9","0.6","0.3%"
"67","Brycen Hopkins (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"68","Luke Farrell (JAC)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"69","Kevin Rader (PIT)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"70","Jack Stoll (PHI)","1","1","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"71","Chris Myarick (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"72","Kylen Granson (IND)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"73","Jesse James (CHI)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"74","Adam Trautman (NO)","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","3.7%"
"75","Juwan Johnson (NO)","1","2","4","4.0","4","0","0","0","0","0","0","2","1.4","0.7","1.9%"
"76","Demetrius Harris (ARI)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.1%"
"77","Nick Boyle (BAL)","1","1","2","2.0","2","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"78","MyCole Pruitt (TEN)","1","1","1","1.0","1","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"79","Jack Doyle (IND)","1","1","0","0.0","0","0","0","0","0","0","0","1","1.0","1.0","2.2%"
"80","Daniel Helm (LV)","1","1","-1","-1.0","0","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"81","Jared Pinkney (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Austin Fort (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Carson Meier (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Tommy Stevens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Reggie Gilliam (BUF)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"86","Giovanni Ricci (CAR)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"87","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"88","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Donald Parham Jr. (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"90","Rysen John (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Chase Harrell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Nakia Griffin-Stewart (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Tommy Hudson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Rashod Berry (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"96","Eli Wolf (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Kahale Warring (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"100","Stephen Carlson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Devin Asiasi (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Thaddeus Moss (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Stephen Sullivan (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Kyle Markway (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Dalton Keene (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Mitchell Wilcox (CIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"107","Hunter Bryant (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Charlie Taumoepeau (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Mitchell Fraboni (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Matt Sokol (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Ben Ellefson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"114","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Ian Bunting (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Jace Sternberger (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Dan Arnold (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"120","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Troy Fumagalli (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","David Wells (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Blake Jarwin (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"124","Eric Saubert (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Johnny Mundt (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Jason Croom (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Caleb Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","T.J. Hockenson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.1%"
"129","Jaeden Graham (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Kaden Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tommy Sweeney (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.5%"
"132","Brandon Dillon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Kendall Blanton (LAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.2%"
"134","Josh Oliver (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Tyree Jackson (PHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Isaac Nauta (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Irv Smith Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.3%"
"138","Chris Herndon IV (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"139","Ryan Izzo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Dylan Cantrell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Jordan Franks (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Donnie Ernsberger (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Tanner Hudson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","Deon Yelder (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"146","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Farrod Green (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Paul Quessenberry (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Dominique Dafney (GB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","Hunter Thedford (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Hunter Long (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"152","Quintin Morris (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Nick Eubanks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Pro Wells (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Miller Forristall (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"156","Tony Poljan (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Dylan Soehner (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Hunter Kampmoyer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Zach Davidson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","John Raine (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Shaun Beyer (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Nick Guggemos (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Jake Hausmann (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Noah Grey (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Kalif Jackson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Sal Cannella (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Michael Jacobson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Mark Vital Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Briley Moore-McKinney (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Sammis Reyes (WAS)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"172","Jacob Harris (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Darrell Daniels (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"176","Bug Howard (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Luke Stocker (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Lee Smith (ATL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
