RK
NAME
TEAM
POS
GMS
PASSING	RUSHING	RECEIVING	
FUM LST
PPG
FPTS
YDS
TD
INT
YDS
TD
REC
YDS
TD
33	Tyler Higbee                    LAR	TE	2	0	0	0	0	0	7	97	0	0	8.4	16.7
35	Tyler Boyd                  CIN	WR	2	0	0	0	3	0	6	43	1	0	8.3	16.6
36	Ben Roethlisberger                  PIT	QB	1	215	2	0	-1	0	0	0	0	0	16.5	16.5
36	Kenneth Gainwell                    PHI	RB	1	0	0	0	6	0	5	49	1	0	16.5	16.5
38	Cam Akers                   LAR	RB	2	0	0	0	103	0	4	60	0	2	8.2	16.3
39	Jalen Hurts                 PHI	QB	1	258	1	2	39	0	0	0	0	0	16.2	16.22
40	Dalton Schultz                  DAL	TE	1	0	0	0	0	0	7	89	0	0	15.9	15.9
41	Dallas Goedert                  PHI	TE	1	0	0	0	0	0	6	92	0	0	15.2	15.2
42	Mac Jones                   NE	QB	1	232	2	2	18	0	0	0	0	0	15.1	15.08
43	Cole Beasley                    BUF	WR	2	0	0	0	0	0	7	79	0	0	7.4	14.9
44	Stefon Diggs                    BUF	WR	2	0	0	0	0	0	6	67	0	0	7.4	14.7
45	Darren Waller                   LV	TE	1	0	0	0	0	0	7	76	0	0	14.6	14.6
46	Derek Carr                  LV	QB	1	310	1	1	20	0	0	0	0	1	14.4	14.4
46	Diontae Johnson                 PIT	WR	1	0	0	0	0	0	5	34	1	0	14.4	14.4
48	Ke'Shawn Vaughn                 TB	RB	2	0	0	0	53	1	2	9	0	0	7.1	14.2
48	Emmanuel Sanders                    BUF	WR	2	0	0	0	0	0	3	52	1	0	7.1	14.2
50	Hunter Renfrow                  LV	WR	1	0	0	0	0	0	8	58	0	0	13.8	13.8
51	Isaiah McKenzie                 BUF	WR	2	0	0	0	44	0	4	48	0	0	6.6	13.2
52	George Kittle                   SF	TE	2	0	0	0	0	0	5	81	0	0	6.6	13.1
53	Derrick Henry                   TEN	RB	1	0	0	0	62	1	0	0	0	0	12.2	12.2
53	Julio Jones                 TEN	WR	1	0	0	0	0	0	6	62	0	0	12.2	12.2
55	DeVonta Smith                   PHI	WR	1	0	0	0	0	0	4	60	0	0	12	12
56	James Washington                    PIT	WR	1	0	0	0	0	0	2	37	1	0	11.7	11.7
57	Demarcus Robinson                   KC	WR	2	0	0	0	0	0	4	76	0	0	5.8	11.6
57	Brandon Aiyuk                   SF	WR	2	0	0	0	0	0	5	66	0	0	5.8	11.6
59	Van Jefferson Q                 LAR	WR	2	0	0	0	15	0	3	70	0	0	5.8	11.5
60	Tyree Jackson                   PHI	TE	1	0	0	0	0	0	3	22	1	0	11.2	11.2
60	Cedrick Wilson                  DAL	WR	1	0	0	0	0	0	5	62	0	0	11.2	11.2
62	Christian Kirk                  ARI	WR	1	0	0	0	0	0	6	51	0	0	11.1	11.1
63	Boston Scott                    PHI	RB	1	0	0	0	34	1	1	1	0	0	10.5	10.5
63	Scotty Miller                   TB	WR	2	0	0	0	9	0	5	46	0	0	5.2	10.5
65	Rhamondre Stevenson                 NE	RB	1	0	0	0	27	0	4	33	0	0	10	10
65	Jakobi Meyers                   NE	WR	1	0	0	0	0	0	6	40	0	0	10	10
67	Kendall Blanton                 LAR	TE	2	0	0	0	0	0	2	18	1	0	4.9	9.8
68	Tyler Johnson                   TB	WR	2	0	0	0	0	0	5	45	0	0	4.8	9.5
69	James Conner                    ARI	RB	1	0	0	0	19	1	1	5	0	0	9.4	9.4
70	Aaron Rodgers                   GB	QB	1	225	0	0	0	0	0	0	0	0	9	9
71	JaQuan Hardy                    DAL	RB	1	0	0	0	26	1	0	0	0	0	8.6	8.6
72	AJ Dillon                   GB	RB	1	0	0	0	25	1	0	0	0	0	8.5	8.5
73	Jimmy Garoppolo Q                   SF	QB	2	303	0	2	1	0	0	0	0	0	4.1	8.22
74	Rondale Moore                   ARI	WR	1	0	0	0	0	0	5	32	0	0	8.2	8.2
75	Ryan Tannehill                  TEN	QB	1	220	1	3	12	0	0	0	0	0	8	8
76	Clyde Edwards-Helaire                   KC	RB	1	0	0	0	60	0	1	9	0	0	7.9	7.9
77	Sony Michel                 LAR	RB	2	0	0	0	62	0	2	-4	0	0	3.9	7.8
77	Cameron Brate                   TB	TE	2	0	0	0	0	0	4	38	0	0	3.9	7.8
79	JuJu Smith-Schuster                 PIT	WR	1	0	0	0	0	0	5	26	0	0	7.6	7.6
80	Jauan Jennings                  SF	WR	2	0	0	0	0	0	4	35	0	0	3.8	7.5
81	Zach Gentry                 PIT	TE	1	0	0	0	0	0	4	33	0	0	7.3	7.3
82	Bryan Edwards                   LV	WR	1	0	0	0	0	0	3	41	0	0	7.1	7.1
83	Brandon Bolden                  NE	RB	1	0	0	0	0	0	4	27	0	0	6.7	6.7
84	D'Onta Foreman                  TEN	RB	1	0	0	0	66	0	0	0	0	0	6.6	6.6
85	Pat Freiermuth                  PIT	TE	1	0	0	0	0	0	4	25	0	0	6.5	6.5
86	Miles Sanders                   PHI	RB	1	0	0	0	16	0	3	12	0	0	5.8	5.8
87	Quez Watkins                    PHI	WR	1	0	0	0	0	0	2	35	0	0	5.5	5.5
87	Chase Claypool                  PIT	WR	1	0	0	0	0	0	3	25	0	0	5.5	5.5
89	Eno Benjamin                    ARI	RB	1	0	0	0	8	0	2	26	0	0	5.4	5.4
90	Benny Snell Jr.                 PIT	RB	1	0	0	0	15	0	2	16	0	0	5.1	5.1
90	Zach Ertz                   ARI	TE	1	0	0	0	0	0	3	21	0	0	5.1	5.1
92	Kyle Juszczyk                   SF	FB	2	0	0	0	14	0	2	15	0	0	2.4	4.9
93	Damien Harris                   NE	RB	1	0	0	0	30	0	1	7	0	0	4.7	4.7
94	Tony Pollard                    DAL	RB	1	0	0	0	14	0	2	12	0	0	4.6	4.6
95	Dontrell Hilliard                   TEN	RB	1	0	0	0	0	0	3	13	0	0	4.3	4.3
96	Reggie Gilliam                  BUF	FB	2	0	0	0	0	0	3	12	0	0	2.1	4.2
97	Ezekiel Elliott                 DAL	RB	1	0	0	0	31	0	1	0	0	0	4.1	4.1
98	Kyler Murray                    ARI	QB	1	137	0	2	6	0	0	0	0	0	4.1	4.08
99	Hunter Henry                    NE	TE	1	0	0	0	0	0	1	30	0	0	4	4
99	Ray-Ray McCloud                 PIT	WR	1	0	0	0	0	0	2	20	0	0	4	4
