"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"103","Derek Carrier (LV)","2","2","13","6.5","9","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"104","Luke Stocker (MIN)","2","2","12","6.0","7","0","0","0","0","0","0","5","3.2","0.6","0.0%"
"105","Ethan Wolf (NO)","2","2","8","4.0","4","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"106","Kevin Rader (PIT)","2","3","8","4.0","7","0","0","0","0","0","0","3","2.8","0.9","0.0%"
"107","Brycen Hopkins (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"108","Johnny Mundt (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","3","1.9","0.6","0.0%"
"109","Dominique Dafney (GB)","1","3","8","8.0","8","0","0","0","0","0","0","5","1.8","0.4","0.0%"
"110","Hunter Long (MIA)","1","3","8","8.0","8","0","0","0","0","0","0","3","1.8","0.6","0.1%"
"111","Eric Tomlinson (BAL)","1","1","7","7.0","7","0","0","0","0","0","0","6","1.7","0.3","0.0%"
"112","Nick Boyle (BAL)","1","2","2","2.0","2","0","0","0","0","0","0","2","1.2","0.6","0.1%"
"113","Deon Yelder (NYG)","1","1","0","0.0","0","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"114","Darrell Daniels (ARI)","1","4","0","0.0","0","0","0","0","0","0","0","9","1.0","0.1","0.0%"
"115","Daniel Helm (LV)","1","2","-1","-1.0","0","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"116","Reggie Gilliam (BUF)","3","4","23","7.7","8","0","0","3","3","0","0","7","0.0","0.0","0.0%"
"117","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Tommy Stevens (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"119","Giovanni Ricci (CAR)","0","2","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"120","Ben Ellefson (MIN)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"121","Rashod Berry (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
