53,Tyler Lockett    SEA,WR,16,0,0,0,9,0,73,1175,8,0,0,0,0,15.1,241.4
56,David Montgomery    CHI,RB,13,0,0,1,849,7,42,301,0,0,0,0,0,15,195
56,Elijah Mitchell    SF,RB,11,0,0,0,963,5,19,137,1,0,0,0,0,15,165
56,Trevor Siemian    NO,QB,6,1154,11,3,20,1,0,0,0,0,0,0,0,15,90.16
59,Ezekiel Elliott    DAL,RB,17,4,0,0,1002,10,47,287,2,0,0,0,0,14.8,252.06
60,Cordarrelle Patterson    ATL,RB,16,0,0,0,618,6,52,548,5,0,0,0,0,14.7,234.6
60,DeAndre Hopkins    ARI,WR,10,0,0,0,0,0,42,572,8,0,0,0,0,14.7,147.2
62,CeeDee Lamb    DAL,WR,16,0,0,0,76,0,79,1102,6,0,0,0,0,14.6,232.8
63,Teddy Bridgewater    DEN,QB,14,3052,18,7,106,2,0,0,0,0,0,0,0,14.5,202.68
63,Brandin Cooks    HOU,WR,16,0,0,0,21,0,90,1037,6,0,0,0,0,14.5,231.8
65,DK Metcalf    SEA,WR,17,0,0,0,6,0,75,967,12,0,0,0,0,14.4,244.3
66,Antonio Gibson    WAS,RB,16,0,0,0,1037,7,42,294,3,0,0,0,0,14.3,229.1
66,Rob Gronkowski    TB,TE,12,0,0,0,0,0,55,802,6,0,0,0,0,14.3,171.2
68,Calvin Ridley    ATL,WR,5,0,0,0,0,0,31,281,2,0,0,0,0,14.2,71.1
69,Marquise Brown    BAL,WR,16,0,0,0,5,0,91,1008,6,0,0,0,0,14.1,226.3
69,George Kittle    SF,TE,14,0,0,0,20,0,71,910,6,0,0,0,0,14.1,198
71,Damien Harris    NE,RB,15,0,0,0,929,15,18,132,0,0,0,0,0,14,210.1
71,Michael Pittman Jr.    IND,WR,17,0,0,0,44,0,88,1082,6,0,0,0,0,14,238.6
71,DJ Moore    CAR,WR,17,0,0,0,48,0,93,1157,4,0,0,0,0,14,237.5
74,Taylor Heinicke    WAS,QB,16,3419,20,15,313,1,1,-2,0,0,0,0,0,13.9,222.86
74,Jared Goff    DET,QB,14,3245,19,8,87,0,0,0,0,0,0,0,0,13.9,194.5
74,Tua Tagovailoa    MIA,QB,13,2653,16,10,128,3,0,0,0,0,0,0,0,13.9,180.92
74,A.J. Brown    TEN,WR,13,0,0,0,10,0,63,869,5,0,0,0,0,13.9,180.9
78,Kareem Hunt    CLE,RB,8,0,0,0,386,5,22,174,0,0,0,0,0,13.8,110
79,Ben Roethlisberger    PIT,QB,16,3740,22,10,5,1,0,0,0,0,0,0,0,13.6,218.1
79,T.J. Watt    PIT,OLB,15,0,0,0,0,0,0,0,0,22.5,0,5,3,13.6,203.25
79,Darrell Henderson Jr.     LAR,RB,12,0,0,0,688,5,29,176,3,0,0,0,0,13.6,163.4
79,Tyrod Taylor    HOU,QB,6,966,5,5,151,3,0,0,0,0,0,0,0,13.6,81.74
79,Geno Smith    SEA,QB,4,702,5,1,42,1,0,0,0,0,0,0,0,13.6,54.28
84,Amari Cooper    DAL,WR,15,0,0,0,0,0,68,865,8,0,0,0,0,13.5,202.5
85,Amon-Ra St. Brown    DET,WR,17,0,0,0,61,1,90,912,5,0,0,0,0,13.4,227.3
86,Mac Jones    NE,QB,17,3801,22,13,129,0,0,0,0,0,0,0,0,13.2,224.94
87,Matt Ryan    ATL,QB,17,3968,20,12,82,1,0,0,0,0,0,0,0,13.1,222.92
87,Sam Darnold    CAR,QB,12,2527,9,13,222,5,0,0,0,0,0,0,0,13.1,157.28
89,Dominik Eberle    HOU,K,1,0,0,0,0,0,0,0,0,0,0,0,0,13,13
89,Sean Mannion    MIN,QB,1,189,1,0,14,0,0,0,0,0,0,0,0,13,12.96
91,Baker Mayfield    CLE,QB,14,3010,17,13,134,1,0,11,0,0,0,0,0,12.9,180.9
91,Darnell Mooney    CHI,WR,17,0,0,0,32,1,81,1055,4,0,0,0,0,12.9,219.7
93,Terry McLaurin    WAS,WR,17,0,0,0,12,0,77,1053,5,0,0,0,0,12.6,213.5
93,Elijah Moore    NYJ,WR,11,0,0,0,54,1,43,538,5,0,0,0,0,12.6,138.2
95,James Robinson    JAX,RB,14,0,0,0,767,8,31,222,0,0,0,0,0,12.4,173.9
96,Dalton Schultz    DAL,TE,17,0,0,0,0,0,78,808,8,0,0,0,0,12.3,208.8
97,Melvin Gordon III    DEN,RB,16,0,0,0,918,8,28,213,2,0,0,0,0,12.2,195.1
