4 players
2: PPG
13 : 124.39440476190475 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott', 'Darren Waller')
14 : 124.38398809523811 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Kyler Murray')
15 : 124.26083333333334 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Russell Wilson')
16 : 124.16190476190476 : ('Christian McCaffrey', 'Tyreek Hill', 'Dalvin Cook', 'Travis Kelce', 'Dak Prescott')
17 : 123.96000000000001 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Justin Herbert')
18 : 123.83083333333335 : ('Christian McCaffrey', 'Alvin Kamara', 'Travis Kelce', 'Dak Prescott', 'Stefon Diggs')
19 : 123.7964880952381 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Deshaun Watson')
20 : 123.67750000000001 : ('Christian McCaffrey', 'George Kittle', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott')
21 : 123.29833333333335 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Ryan Tannehill')
22 : 123.29249999999999 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams', 'Darren Waller')
23 : 123.2027380952381 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Russell Wilson')
24 : 123.08875 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Davante Adams', 'Darren Waller')
25 : 123.06 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Tyreek Hill', 'Travis Kelce')
26 : 122.90190476190477 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Justin Herbert')
27 : 122.89208333333335 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Tom Brady')
28 : 122.88857142857142 : ('Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Dak Prescott')
29 : 122.85625 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Tyreek Hill', 'Travis Kelce')
30 : 122.77273809523808 : ('Christian McCaffrey', 'Dalvin Cook', 'Travis Kelce', 'Dak Prescott', 'Stefon Diggs')
31 : 122.61940476190478 : ('Christian McCaffrey', 'George Kittle', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott')
32 : 122.36541666666666 : ('Derrick Henry', 'Christian McCaffrey', 'Patrick Mahomes', 'Davante Adams', 'Travis Kelce')
33 : 122.28875000000001 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Darren Waller', 'Aaron Rodgers')
34 : 122.24023809523811 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Ryan Tannehill')
